,EVA_NR,DS100,IFOPT,db_name,traffic,operator_name,operator_nr,status,distance,formatted,lat,lon,housenumber,name,street,postcode,district,suburb,county,state,state_code,city,country,country_code,attribution,attribution_license,attribution_url
1347,8001943,EGVA,de:05954:8088,Gevelsberg-Knapp,RV,DB Station und Service AG,2116,,2.2764964982372615,Gevelsberg-Knapp Burbecker Straﬂe 58285 Gevelsberg Germany,51.336961599999995,7.377636173397617,,Gevelsberg-Knapp,Burbecker Straﬂe,58285,Gevelsberg,Berge,Ennepe-Ruhr-Kreis,North Rhine-Westphalia,,Gevelsberg,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1348,8001946,TEY,de:08237:8031,Eyach,RV,DB Station und Service AG,1742,,2.914977343160027,Am Bahnhof 6 72181 Starzach Germany,48.4463123,8.783302536523248,6,,Am Bahnhof,72181,Rottenburg am Neckar,Bˆrstingen,Landkreis T¸bingen,Baden-W¸rttemberg,BW,Starzach,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1349,8001949,HETR,de:03256:26493,Eystrup,RV,DB Station und Service AG,1743,,40.89137837051059,Am Bahnhof 6 27324 Eystrup Germany,52.783098,9.230979,6,,Am Bahnhof,27324,Grafschaft Hoya,,Nienburg,Lower Saxony,,Eystrup,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1350,8001950,FFAN,de:07141:050130,Fachingen(Lahn),RV,DB Station und Service AG,1744,,3.9350826429799377,Fachingen (Lahn) Bahnhofstraﬂe 65626 Birlenbach Germany,50.3617755,7.9925112,,Fachingen (Lahn),Bahnhofstraﬂe,65626,Fachingen,,Rhein-Lahn-Kreis,Rhineland-Palatinate,,Birlenbach,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1351,8001953,AFK,de:01060:37983,Fahrenkrug,nur DPN,DB Station und Service AG,1747,,4.816439291542872,Wahlstedter Straﬂe 23795 Fahrenkrug Germany,53.9439857,10.2532206,,Fahrenkrug,Wahlstedter Straﬂe,23795,Trave-Land,,Kreis Segeberg,Schleswig-Holstein,SH,Fahrenkrug,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1352,8001954,RFN,de:08336:6663,Fahrnau,RV,DB Station und Service AG,1749,,7.160277880063642,Eisenbahnstraﬂe 6 79650 Schopfheim Germany,47.661665299999996,7.839307799999998,6,,Eisenbahnstraﬂe,79650,Schopfheim,,Landkreis Lˆrrach,Baden-W¸rttemberg,BW,Schopfheim,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1353,8001957,HF,de:03103:2241,Fallersleben,nur DPN,DB Station und Service AG,1759,,3.5252364947322254,Fallersleben Hopfengarten 38442 Wolfsburg Germany,52.42355925,10.717700274345225,,Fallersleben,Hopfengarten,38442,,Fallersleben,,Lower Saxony,,Wolfsburg,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1354,8001958,HFAL,de:03358:4693,Bad Fallingbostel,nur DPN,DB Station und Service AG,1760,,1.2478061670269172,Bahnhof Bad Fallingbostel Am Bahnhof 1 29683 Bad Fallingbostel Germany,52.86297535,9.700110146992944,1,Bahnhof Bad Fallingbostel,Am Bahnhof,29683,Bad Fallingbostel,Idingen,Heidekreis,Lower Saxony,,Bad Fallingbostel,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1355,8001961,MFCH,de:09180:90198,Farchant,RV,DB Station und Service AG,1764,,5.2131589893941825,Dorfbachweg 82490 Farchant Germany,47.531785049999996,11.114934194010118,,Farchant,Dorfbachweg,82490,,,Landkreis Garmisch-Partenkirchen,Bavaria,,Farchant,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1356,8001963,MFP,de:09184:2300,Fasanenpark,RV,DB Station und Service AG,1765,,0,Fasanenpark Bussardstraﬂe 82008 Unterhaching Germany,48.07999845,11.609294656835642,,Fasanenpark,Bussardstraﬂe,82008,,,Landkreis M¸nchen,Bavaria,,Unterhaching,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1357,8001964,NFCH,de:09676:1905,Faulbach(Main),RV,DB RegioNetz Infrastruktur GmbH,,,38.42126423659397,Hauptstraﬂe 143 97906 Faulbach Germany,49.786941,9.438149,143,,Hauptstraﬂe,97906,Faulbach,,Miltenberg,Bavaria,,Faulbach,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
